,country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Aruba,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,10414.912408759124,10068.666666666666,9845.118055555555,9810.770833333334,9921.224489795919,9896.20945945946,15200.0,17700.0,21000.0,23500.0,24000.0,25100.0,25700.0,26700.0,28000.0,27900.0,27400.0,28400.0,28100.0,27600.0,29000.0,29700.0,29100.0,29100.0,30900.0,30500.0,30500.0,31100.0,31200.0,27200.0,26200.0,26800.0,26300.0,27800.0,27600.0,28400.0,28900.0,30300.0,31700.0,31800.0,25800.0,30300.0
1,Afghanistan,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,10414.912408759124,10068.666666666666,9845.118055555555,9810.770833333334,9921.224489795919,9896.20945945946,9917.888157894737,9963.716129032258,10140.777070063694,10382.208860759494,10190.19642857143,10179.355029585799,10229.906976744185,10251.85549132948,10365.765714285715,10589.232432432433,10801.481081081081,11414.143617021276,11663.079787234043,11954.275132275132,12546.005154639175,12677.810256410256,360.0,363.0,354.0,380.0,384.0,429.0,437.0,512.0,569.0,551.0,596.0,608.0,603.0,592.0,590.0,589.0,579.0,584.0,553.0,426.0
2,Angola,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,2660.0,2450.0,2360.0,2380.0,2430.0,2430.0,2410.0,2420.0,2490.0,2400.0,2250.0,2190.0,2000.0,1470.0,1450.0,1610.0,1770.0,1830.0,1860.0,1840.0,1830.0,1850.0,2030.0,2020.0,2170.0,2400.0,2590.0,2840.0,3050.0,2960.0,2990.0,2980.0,3120.0,3150.0,3190.0,3100.0,2910.0,2810.0,2680.0,2570.0,2350.0,2300.0
3,Albania,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,1740.0,1800.0,1820.0,1800.0,1740.0,1740.0,1800.0,1750.0,1690.0,1810.0,1610.0,1160.0,1090.0,1200.0,1310.0,1490.0,1630.0,1460.0,1600.0,1820.0,1960.0,2140.0,2250.0,2380.0,2520.0,2680.0,2850.0,3040.0,3300.0,3430.0,3580.0,3680.0,3740.0,3780.0,3860.0,3950.0,4090.0,4250.0,4430.0,4540.0,4410.0,4830.0
4,Andorra,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,43300.0,42200.0,42600.0,43000.0,42600.0,40300.0,39200.0,38200.0,36800.0,35200.0,34400.0,33100.0,32100.0,31200.0,30500.0,30000.0,29800.0,30100.0,30300.0,30600.0,30600.0,30300.0,29600.0,28400.0,28100.0,28100.0,28800.0,31100.0,31900.0,33000.0,33900.0,35700.0,35700.0,37300.0,38700.0,39300.0,41000.0,42700.0,41500.0,40400.0,40900.0,41500.0,39200.0,37600.0,38400.0,38900.0,39900.0,39300.0,39300.0,39400.0,34400.0,36800.0
5,United Arab Emirates,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,102000.0,105000.0,111000.0,95900.0,103000.0,114000.0,110000.0,96700.0,86900.0,85500.0,78200.0,62400.0,60200.0,54800.0,57900.0,64599.99999999999,61600.0,60500.0,58300.0,59500.0,60700.0,60800.0,61600.0,58100.0,56300.0,59100.0,56800.0,55300.0,57300.0,60000.0,58700.0,56300.0,48500.0,42000.0,34800.0,33300.0,35300.0,36600.0,38000.0,39200.0,41500.0,43500.0,43400.0,43600.0,43800.0,41300.0,42500.0
6,Argentina,7410.0,7690.0,7500.0,6990.0,7570.0,8240.0,8060.0,8190.0,8450.0,9130.0,9260.0,9630.0,9630.0,9740.0,10100.0,9940.0,9580.0,10100.0,9480.0,10300.0,10300.0,9590.0,9370.0,9620.0,9620.0,8990.0,9400.0,9510.0,9260.0,8470.0,8140.0,8760.0,9330.0,9960.0,10400.0,9970.0,10400.0,11100.0,11400.0,10900.0,10700.0,10100.0,8900.0,9580.0,10300.0,11100.0,11900.0,12900.0,13200.0,12300.0,13600.0,14200.0,13900.0,14100.0,13600.0,13800.0,13400.0,13600.0,13100.0,12700.0,11300.0,12400.0
7,Armenia,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,10414.912408759124,10068.666666666666,9845.118055555555,9810.770833333334,9921.224489795919,9896.20945945946,9917.888157894737,9963.716129032258,10140.777070063694,10382.208860759494,1640.0,1430.0,840.0,792.0,855.0,928.0,990.0,1030.0,1120.0,1170.0,1250.0,1390.0,1580.0,1820.0,2020.0,2310.0,2640.0,3020.0,3250.0,2810.0,2890.0,3040.0,3280.0,3400.0,3540.0,3670.0,3690.0,3990.0,4220.0,4560.0,4260.0,4520.0
8,American Samoa,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,9997.112903225807,10069.661290322581,10436.088,10414.912408759124,10068.666666666666,9845.118055555555,9810.770833333334,9921.224489795919,9896.20945945946,9917.888157894737,9963.716129032258,10140.777070063694,10382.208860759494,10190.19642857143,10179.355029585799,10229.906976744185,10251.85549132948,10365.765714285715,10589.232432432433,10801.481081081081,11414.143617021276,11663.079787234043,11954.275132275132,12546.005154639175,12677.810256410256,12800.0,13000.0,13100.0,13100.0,12700.0,13000.0,12800.0,12400.0,12500.0,12700.0,12200.0,12100.0,12500.0,13100.0,13100.0,12400.0,13000.0,13300.0,14300.0,14400.0
9,Antigua and Barbuda,4611.6781609195405,4625.692307692308,4755.736263736264,4892.065934065934,5150.692307692308,5396.625,5485.464646464647,5625.64,5904.578431372549,6172.862745098039,7416.366071428572,7660.910714285715,7944.919642857143,8296.589285714286,8831.640350877193,9519.146551724138,9859.177966101695,5400.0,5620.0,6050.0,6510.0,6740.0,6720.0,7060.0,7780.0,8420.0,9440.0,10100.0,10700.0,11300.0,11700.0,11900.0,11900.0,12300.0,12900.0,12100.0,12600.0,13000.0,13400.0,13600.0,14200.0,13400.0,13400.0,14000.0,14700.0,15400.0,17200.0,18500.0,18200.0,15800.0,14400.0,13900.0,14200.0,14000.0,14400.0,14900.0,15600.0,16000.0,17000.0,17700.0,14000.0,14700.0
